
fecha,descripcion,sucursal,dcto,valor,saldo,
25/09,COMISION TRASLADO OTROS BANCO, , ,-7200.00,3463659.62
26/09,ABONO INTERESES AHORROS, , ,37.86,3463697.48
27/09,CONSIGNACION NACIONAL CHEQUE,AVENIDA BOLIVARIA, ,1930000.00,5393697.48
27/09,ABONO INTERESES AHORROS, , ,37.75,5393735.23
27/09,VALOR IVA, , ,-1421.00,5392314.23
27/09,INGXSERV CONSIGNACION NAL CHE, , ,-8879.00,5383435.23
28/09,RETIRO CAJERO MANIZALES PRINC, , ,-400000.00,4983435.23
29/09,ABONO INTERESES AHORROS, , ,66.74,4983501.97
30/09,ABONO INTERESES AHORROS, , ,53.89,4983555.86
30/09,CARGUE E-PREPAGO, , ,-53000.00,4930555.86
 ,FIN ESTADO DE CUENTA, , , ,

